lineup,slot,name,pos,team,opp,salary,proj_points
40,RB,Joe Mixon,RB,HOU,LAR,6200,19.695997088228143
40,WR,Ja'Marr Chase,WR,CIN,CLE,8100,25.78938063895261
40,WR,Chris Godwin,WR,TB,ATL,5600,21.541841330788394
40,WR,Tee Higgins,WR,CIN,CLE,6400,20.021117380951825
40,TE,George Kittle,TE,SF,SEA,5800,17.378204033649645
40,FLEX,Jakobi Meyers,WR,LV,NE,5100,15.867967835191259
40,DST,New Orleans Saints,DST,NO,ARI,1500,3.460957954800472
40,TOTAL,,,,,50000,162.15112405809123
41,QB,Baker Mayfield,QB,TB,ATL,6600,24.384021954276054
41,RB,Alvin Kamara,RB,NO,ARI,6300,20.545504949860987
41,RB,Jonathan Taylor,RB,IND,MIA,6800,20.19940915438094
41,WR,Chris Godwin,WR,TB,ATL,5600,21.541841330788394
41,WR,Tee Higgins,WR,CIN,CLE,6400,20.021117380951825
41,WR,Jakobi Meyers,WR,LV,NE,5100,15.867967835191259
41,TE,George Kittle,TE,SF,SEA,5800,17.378204033649645
41,FLEX,Joe Mixon,RB,HOU,LAR,6200,19.695997088228143
41,DST,Pittsburgh Steelers,DST,PIT,NYJ,1200,2.51706033076398
41,TOTAL,,,,,50000,162.15112405809123
